,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
6,aide,help
7,demande,request
8,genre,kind
9,mois,month
10,frère,brother
11,laisser,let
12,car,because
13,mettre,to put
14,aucun,no
15,laisse,leash
16,eux,them
17,ville,city
18,chaque,each
19,parlé,speak
20,arrivé,come
21,devrait,should
22,bébé,baby
23,longtemps,long time
24,heures,hours
25,vont,will
26,pendant,while
27,revoir,meet again
28,aucune,any
29,parle,speak
30,compris,understood
31,savais,knew
32,étaient,were
33,attention,Warning
34,voici,here is
35,pourrais,could
36,affaire,case
37,donner,give
38,type,type
39,leurs,their
40,donné,given
41,train,train
42,corps,body
43,endroit,place
44,yeux,eyes
45,écoute,listen
46,dont,whose
47,trouve,find
48,premier,first
49,perdu,lost
50,main,hand
51,première,first
52,côté,side
53,pouvoir,power
54,vieux,old
55,sois,be
56,matin,morning
57,tellement,so much
58,enfant,child
59,point,point
60,venu,came
61,suite,after
62,pardon,sorry
63,venez,come
64,devant,in front of
65,vers,towards
66,minutes,minutes
67,demandé,request
68,chambre,bedroom
69,mis,placed
70,belle,beautiful
71,droit,law
72,aimerais,would like to
73,aujourd'hui,today
74,mari,husband
75,cause,cause
76,enfin,finally
77,espère,hope
78,eau,water
79,parti,left
80,nouvelle,new
81,boulot,job
82,arrêter,Stop
83,terre,Earth
84,compte,account
85,donne,given
86,loin,far
87,fin,end
88,croire,believe
89,chérie,sweetheart
90,gros,large
91,plutôt,rather
92,aura,will have
93,filles,girls
94,jouer,to play
95,bureau,office
